StockCode,Description,TotalQuantity,TotalRevenue,NumOrders,AvgUnitPrice,NumCustomers,RevenueRank
23843,"PAPER CRAFT , LITTLE BIRDIE",80995,168469.6,1,2.08,1,2
23166,MEDIUM CERAMIC TOP STORAGE JAR,78033,81700.92000000001,247,1.46848,138,6
22197,POPCORN HOLDER,56898,51334.47,1392,1.0435543018335685,407,12
84077,WORLD WAR 2 GLIDERS ASSTD DESIGNS,54951,13814.009999999998,535,0.3207276119402985,307,147
85099B,JUMBO BAG RED RETROSPOT,48371,94159.81,2089,2.4861972498814606,635,5
85123A,WHITE HANGING HEART T-LIGHT HOLDER,37641,104462.75,2198,3.1178384376387043,856,3
21212,PACK OF 72 RETROSPOT CAKE CASES,36396,21246.45,1320,0.7612056213017753,635,85
84879,ASSORTED COLOUR BIRD ORNAMENT,36362,58927.62,1455,1.7225745257452574,678,9
23084,RABBIT NIGHT LIGHT,30739,66870.03,994,2.386401179941003,450,7
22492,MINI PAINT SET VINTAGE,26633,16937.82,380,0.7850263157894737,213,115
